38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,99.03,98.76,99.47,99.25,99.38,100.64,100.97,102.34,103.26,102.98,103.9,104.33,101.2,98.96,98.61,97.68,95.29,94.17,94.79,94.7,96.66,96.56,96.5,95.94,95.91,96.32,97.56,97.49,96.37,98.18,95.34,93.27,95.51,92.74,92.73,94.29,94.83,95.56,95.32,99.42,99.16,102.8,105.04,106.94,109.97,110.56,112.22,114.86,113.88,117.14,118.04,109.18,95.61,96,95.52,97.01,97.98,98.01,99.32,97.16,97.27,97.26,96.83,96.99,97.08,103.34,102.89,102.02,102.75,104.89,103.59,103.4,105.06,106.67,107.53,109.33,111.73,105.27,102.93,102.28,101.96,102.32,103.91,102.78,103.29,103.14,102.83,103.46,103.9,106.33,103.26,103.19,102.66,102,102.58,104.52,103.28,103.36,104.33,105.21,105.98,107.27,109.67,104.51
SUMATERA UTARA,114.96,114.69,117.05,117.53,118.58,116.56,115.78,117.92,120.61,123.21,125.75,125.95,119.06,94.28,94.85,94.67,95.6,96.41,96.72,96.05,96.66,96.94,97.56,97.68,97.88,96.28,99.58,99.06,98.79,99.37,95.59,92.75,93.04,90.83,93.16,91.99,93.32,91.1,94.87,136.99,135.96,141.43,141.31,143.48,139.13,137.71,142.78,148.32,153.83,159.45,160.1,145.06,101.09,101.19,101.34,102.69,104.17,105.19,105.28,104.06,103.48,103.75,102.31,102.45,103.08,102.78,104.92,104.24,105.36,106.03,105.95,106.35,107.61,106.45,107.32,107.99,109.15,106.18,93.7,94.02,94.37,96.61,96.96,96.34,95.82,95.89,95.5,96.11,94.99,95.02,95.45,100.83,102.58,102.13,103.47,104.07,103.87,104.07,105.07,104.07,104.88,105.16,106.08,103.86
SUMATERA BARAT,102.87,103.67,105.57,105.58,105.73,106.77,107.33,109.8,110.69,111.08,110.8,111.26,107.61,94.66,95.14,94.95,95.08,94.83,96.03,96.67,97.55,98.98,98.96,97.78,98.62,96.61,100.24,100.28,103.94,101.9,98.52,95.25,98.3,101.99,100.45,100.25,97.02,98.88,99.75,114.53,116.52,121.39,121.47,123.42,125.83,125.6,130.41,132.29,133.79,135.49,134.71,126.32,103.2,102.02,100,102.52,102.36,103.11,102.52,101.33,99.03,97.62,98.74,100.05,101.03,102.59,101.16,99.47,99.9,99.24,99.81,101.66,103.44,101.16,100.78,99.38,102.23,100.9,89.89,87.95,87.88,88.2,89.99,91.92,92.5,94.24,93.09,93.95,92.83,93.51,91.34,95.38,93.65,92.89,93.25,93.97,95.31,96.44,98.2,96.56,96.89,95.64,97.25,95.46
RIAU,132.92,133.04,137.64,134.54,135.13,135.26,132.16,136.74,141.32,144.9,148.38,152.18,138.72,91.89,91.43,91.13,91.95,91.79,91.18,91.13,90.5,90.74,90.32,90.48,90.4,91.07,97.44,97.44,96.28,95.99,94.04,92.6,93.35,90.36,90.53,91.55,93.98,94.41,94,140.89,141,146.68,142.75,143.55,143.74,139.92,145.79,151.23,155.63,159.62,164.16,147.96,98.61,99.29,98.69,99.87,99.66,100.84,100.98,99.12,99.91,98.68,100.02,100.62,99.69,100.4,101.17,102.11,102.83,103.74,103.87,104.17,104.25,106.15,105.95,106.14,106.11,103.91,94.46,94.66,95.56,96.73,98.1,97.86,97.94,97.72,97.19,97.31,97.14,96.23,96.74,98.99,99.62,100.55,101.38,102.4,102.44,102.69,102.69,104.01,103.89,103.99,103.75,102.2
JAMBI,119.23,118.38,122.17,122.3,124.1,124.08,123.22,127.63,130.94,134.04,137.69,138.79,126.89,98.28,97.79,97.49,96.07,96.39,97.44,97.25,96.35,96.32,96.58,97.64,99.18,97.23,108.75,104.26,104.35,99.43,96.14,92.42,95.45,95.67,94.59,96.68,98.89,98.72,98.78,124.24,123.6,128.48,129.07,131.47,131.57,130.27,136.13,140.47,144.39,148.75,149.9,134.87,97.93,96.74,97.61,99.86,102.03,102.43,102.13,100.52,100.68,98.99,98.62,99.32,99.73,111.87,111.53,112.01,113.92,114.66,114.02,114.75,114.23,114.76,112.61,114.32,115.08,113.65,98.05,97.56,96.75,98.99,100.36,99.71,99.89,99.34,100.36,99.9,99.99,100.06,99.25,108.7,108.32,108.51,110.49,111.37,110.72,111.32,110.79,111.44,109.68,111.02,111.62,110.33
SUMATERA SELATAN,100.01,102.03,104.99,105.36,105.5,106.88,107.9,111.14,112.07,111.96,112.4,113.15,107.8,93.36,93.51,91.7,89.51,88.49,89.62,88.44,90.13,89.57,90.6,88.46,90.16,90.29,92.9,91.26,90.68,89.18,87.52,86.71,88.15,87.41,87.18,88.32,88.64,91.56,89.12,102.35,105.23,110.06,111.27,111.77,113.42,115.16,119.36,120.93,120.43,121.72,122.09,114.5,101.5,101.19,101.71,103.42,105.13,105.2,105.88,103.5,102.38,101.45,101.67,102.15,102.93,103.41,104.89,104.8,104.67,105.58,104.29,103.31,105.09,103.16,103.89,105.77,107.19,104.67,94.89,95.1,93.47,93.26,94.11,93.58,94.43,94.61,94.69,95.53,94.25,94.05,94.33,99.77,100.72,99.97,99.79,100.68,99.72,99.52,100.61,99.54,100.32,100.84,101.57,100.26
BENGKULU,124.91,124.71,128.78,129.42,130.63,127.81,128.51,132.15,136.04,140.04,143.8,143.93,132.6,100.31,98.49,98.98,97.49,95.25,95.8,97.37,97.61,98.66,98.22,99.55,99.85,98.13,110.12,105.14,101.27,99.64,95.06,100.13,104.18,98.88,101.36,97.93,100.78,92.4,100.55,132.42,132.79,138.32,139.44,141.69,137.55,137.91,143.07,147.86,153.46,157.96,158.52,143.47,94.95,94.92,94.9,96.92,98.49,98.67,99.47,97.66,96.91,96.34,96.39,97.36,96.92,100.69,101.86,100.15,100.26,98.91,99.08,99.17,99.6,100.95,101.8,103.34,104.85,100.89,100.65,101.34,102.47,105.32,105.4,103.58,100.76,100.23,99.09,98.47,97.64,95.93,100.86,100.67,101.66,101.05,102.22,101.45,100.84,99.8,99.85,100.21,100.48,101.07,101.29,100.88
LAMPUNG,96.56,96.75,97.85,98.68,99.88,100.8,101.75,102.91,103.4,104.55,105.25,106.29,101.23,91.62,91.47,89.61,88.71,90.83,92.08,93.09,93.55,93.65,94.19,94.89,94.23,92.33,100.95,99.77,99.03,97.12,94.79,94.45,96.67,94.7,93.05,94.36,95.57,100.17,96.72,100.4,101.56,106.6,109.49,110.07,111.06,111.6,114.62,115.87,118.19,119.16,121.76,111.71,99.62,98.54,98.88,100.96,102.51,102.84,104.55,103.82,104.39,104.21,103.9,104.6,102.41,103.28,102.93,104.51,104.58,105.5,104.78,105.24,106.96,106.47,107.28,107.59,109.56,105.73,100.56,100.54,100.62,101.51,102.07,101.46,100.99,101.53,101.68,101.4,101.27,101.18,101.23,101.54,101.41,102.03,102.63,103.31,102.66,102.53,103.5,103.42,103.53,103.56,104.21,102.86
KEP. BANGKA BELITUNG,116.21,117.28,121.89,124.5,123.8,121.25,123.67,128.22,128.65,131.51,134.91,135.93,125.71,98.81,98.78,99.17,96.9,97.94,100.02,100.59,102.69,99.77,99.61,97.06,95.23,98.87,108.72,106.08,102.94,103.87,101.94,105.66,106.86,105.19,104.7,105.11,108.1,125.81,107.14,118.62,120.43,126.41,129.87,128.76,124.95,127.95,133.91,134.82,138.12,142.12,141.68,130.71,107.35,104.9,107.41,106.41,108.62,107.33,105.39,102.08,104.91,107.33,108.42,110.52,106.73,109.58,108.56,108.97,108.25,110.43,112.41,112.81,113.35,110.44,112.23,113.21,114.6,111.25,94.48,95.28,94.96,94.75,95.76,96.42,96.67,95.64,94.08,93.33,93.77,93.13,94.85,109.07,108.11,108.5,107.79,109.94,111.87,112.27,112.76,109.89,111.59,112.55,113.87,110.69
KEP. RIAU,102.77,102.23,102.79,103.33,103.57,104.12,105.75,104.26,105.05,105.23,106.09,107.29,104.38,105.96,103.44,104.94,105.92,103.65,101.81,101.92,101.01,103.17,104.77,103.02,102.79,103.53,107.98,105.61,105.21,104.06,101.49,103.15,104.62,101.02,103.88,102.55,104.46,108.5,104.38,90.19,93.14,95.99,98.66,101.34,101.91,103.83,102.78,103.48,105.14,105.21,104.02,100.48,99.36,99.59,99.23,100.73,102.62,102.98,103.85,102.38,101.51,100.55,101.42,101.58,101.32,111,108.77,108.1,107.67,107.87,108.11,110.23,109.86,109.43,109.54,110.88,112.67,109.51,99.12,99.17,99.32,98.99,98.69,98.02,98.21,97.38,97.04,97.15,96.66,97.7,98.12,110.39,108.27,107.64,107.22,107.4,107.59,109.61,109.21,108.79,108.9,110.15,111.89,108.93
DKI JAKARTA,100,100.07,98.5,98.49,99.64,99.62,102.19,101.89,103.34,103.43,102.61,101.89,100.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.97,96.21,95.96,96.07,97.82,97.13,99.18,98.22,99.78,100.28,98.87,98.46,97.83,102.71,102.66,100.21,100.11,100.85,101.29,104.22,104.36,105.74,105.55,105.12,104.18,103.08,100,100.07,98.5,98.49,99.64,99.62,102.19,101.89,103.34,103.43,102.61,101.89,100.97
JAWA BARAT,100.06,99.85,99.08,97.35,96.98,96.53,96.45,96.46,96.77,97.93,97.8,98.8,97.84,100.43,99.64,97.85,95.54,95.38,95.62,94.55,95.11,96.02,97.39,97.67,98.12,96.94,104.82,107.6,109.84,105.5,101.76,97.97,101.63,100.76,99.09,100.22,96.93,101.39,102.28,89.54,89.44,90.29,92.87,93.97,94.34,96.59,97.53,98.27,99.34,100.26,99.67,95.19,95.98,95.49,96.28,97.92,99.41,98.53,98.66,95.96,95.07,95.07,96.01,96.89,96.78,106.36,104.86,105.42,107.32,107.86,108.27,108.45,109.49,110.21,112.67,112.12,113.23,108.86,104.31,105.93,105.65,108.23,108.52,106.96,108.31,109.15,108.36,109.51,107.79,108.82,107.63,104.88,105.64,105.59,107.98,108.34,107.32,108.35,109.24,108.87,110.38,108.99,110.04,107.97
JAWA TENGAH,100.98,100.37,99.3,98.71,99.28,99.47,99.13,100,100.95,101.67,101.34,103.18,100.37,102.1,100.09,97.51,97.12,98.5,99.19,97.52,99.48,101.67,102.72,103.34,104.43,100.31,106.96,111.04,113.39,109.39,106.49,104.36,107.33,106.38,104.63,105.22,100.01,107.35,106.87,95.46,95.33,95.45,95.74,96.45,97.16,97.12,96.98,97.06,98.38,99.17,99.56,96.99,93.21,92.76,93.03,94.3,95.41,95.73,96.68,96.04,95.43,94.98,95.47,95.71,94.9,108.72,108.94,107.12,105.83,106.48,106.67,107.81,108.18,109.62,109.59,110.22,112.21,108.45,108.98,108.03,108.49,110.58,109.39,109.78,108.93,110.78,113.93,113,110.5,110.09,110.21,108.87,108.42,107.91,108.57,108.16,108.47,108.45,109.68,112.1,111.56,110.38,110.98,109.47
DI YOGYAKARTA,99.2,98.25,97.05,96.73,97.38,97.62,96.42,96.63,96.44,97.44,97.36,98.07,97.38,97.81,96.18,94.07,93.38,94.7,94.91,93,94.23,93.87,95.2,94,94.02,94.61,112,115.76,116.98,112.79,112.09,110.57,111.37,106.97,110.11,110.55,113.3,122.07,112.9,112.99,110.04,110.56,112.62,115.68,118.59,116.37,116.06,115.83,119.94,121.39,117.41,115.63,94.05,93.52,93.27,94.58,93.43,93.7,93.68,93.31,92.3,91.94,93.09,93.99,93.41,115.46,116.69,115.04,115.85,115.53,116.46,115.95,116.23,117.06,116.54,114.01,115.2,115.83,96,95.47,93.05,93.03,93.28,93.28,92.85,92.69,93.04,92.6,92.26,91.68,93.26,96.95,96.51,94.12,94.14,94.36,94.41,93.97,93.83,94.2,93.76,93.32,92.83,94.36
