PROVINSI,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023,Juli 2023,Agustus 2023,September 2023,Oktober 2023,November 2023,Desember 2023,Januari 2024,Februari 2024,Maret 2024,April 2024,Mei 2024,Juni 2024,Juli 2024,Agustus 2024
ACEH,99.71,99.35,100.5,99.32,96.5,95.22,95.21,95.49,97.68,99.37,100.31,102.09,101.09,99.2,98.78,98.52,97.24,99.07,97.85,98.6,98.88,98.52,99.12,98.01,99.03,98.76,99.47,99.25,99.38,100.64,100.97,102.34,103.26,102.98,103.9,104.33,106.14,107.29,107.29,106.63,105.42,105.16,104.26,106.65,109.04,110.14,111.25,110.18,111.27,112.36,113.07,113.73,112.27,111.96,113.62,115.36,118.03,117.51,116.75,116.08,116.38,117.28,116.38,114.66,116.14,118.91,120.46,122.02
SUMATERA UTARA,101.68,103.39,104.05,105.02,103.6,100.35,100.57,101.87,104.33,106.78,109.34,111.73,113.69,111.71,109.41,106.41,104.5,105.13,106.84,108.53,110.44,112.01,114,115.21,114.96,114.69,117.05,117.53,118.58,116.56,115.78,117.92,120.61,123.21,125.75,125.95,126.75,125.83,128.65,130.38,116.4,117.31,108.85,117.8,119.33,121.12,124.37,124.56,123.78,125.34,127.4,126.42,123.51,122.19,122.33,122.99,126.2,126.79,127.81,129.04,129.16,130.56,132.67,133.32,132.12,133.22,134.23,136.68
SUMATERA BARAT,100.5,101.05,100.52,100.64,100.11,98.18,97.9,98.13,99.99,99.68,101.77,102.23,103.4,102.63,101.74,99.62,97.73,97.98,98.39,99.41,100.54,100.94,101.95,102.68,102.87,103.67,105.57,105.58,105.73,106.77,107.33,109.8,110.69,111.08,110.8,111.26,112.63,112.97,113.32,113.46,109.11,108.91,105.76,107.19,109.22,110.64,111.14,110.41,111.8,111.47,109.87,107.41,107.09,107.55,107.94,108.96,110.82,111.62,113.32,115.36,116.49,117.71,119.66,121.45,123.72,125.33,123.72,124.1
RIAU,101.17,106.92,109.13,107.74,104,99.34,99.01,102.37,108.11,108.63,112.81,117.37,123.93,117.9,113.76,115.64,111.74,109.66,113.57,116.88,120.94,123.61,127.32,130.34,132.92,133.04,137.64,134.54,135.13,135.26,132.16,136.74,141.32,144.9,148.38,152.18,149.9,153.64,159.11,159.22,136.03,133.68,118.4,133.35,139.27,143.86,151.97,152.94,151.91,154.52,161.24,157.34,151.69,145.32,148.31,150.46,151.26,152.5,154.33,156.29,156.59,157.79,164.08,168.62,167.5,168.55,172.96,175.65
JAMBI,99.7,102.43,104.52,104.17,104.16,100.54,99.71,97.6,100.38,98.9,102.17,106.91,110.47,107.07,104.85,102.16,98.55,101.15,103.57,106.89,110.28,112.68,115.75,117.83,119.23,118.38,122.17,122.3,124.1,124.08,123.22,127.63,130.94,134.04,137.69,138.79,139.1,140.12,142.38,143.87,131.5,127.31,119.74,129.58,133.23,136.29,137.94,140.63,140.83,139.74,144.36,142.71,136.91,132.55,133.79,134.38,136.32,137.31,138.72,139.77,142.21,145.3,149.49,153.21,151.74,155.21,155.46,157.4
SUMATERA SELATAN,96.86,97.68,101.13,101.14,102.18,102.13,99.86,97.22,96.76,96.02,97.37,98.7,100.64,96.85,94.13,91.21,88.56,89.99,91.72,94.17,96.49,98.4,100.41,101.83,100.01,102.03,104.99,105.36,105.5,106.88,107.9,111.14,112.07,111.96,112.4,113.15,114.45,114.79,115.51,115.72,110.29,110.37,105.75,105.91,99.31,101.34,99.8,100.33,99.97,102.38,103.61,105.17,103.03,103.6,105.62,104.23,105.97,108.05,109.62,109.52,109.33,111.88,115.2,116.28,117.98,122.4,124.18,123.7
BENGKULU,101.23,105.12,105.5,104.93,102.07,100.06,100.89,101.68,106.32,106.78,110.32,112.94,116.71,113.76,110.68,109.97,106.72,107.84,110.94,114.57,117.66,118.11,119.86,122.12,124.91,124.71,128.78,129.42,130.63,127.81,128.51,132.15,136.04,140.04,143.8,143.93,143,145.48,147.32,146.88,127.02,120.66,110.43,122.9,130.15,135.24,140.75,139.85,139.58,141.38,144.32,142.21,138.8,142.14,143.73,147.15,152.65,154.28,157.42,158.41,160.12,162.96,168.42,175.63,175.06,181.17,187.47,185.19
LAMPUNG,97.76,97.93,97.96,97.57,96.35,95.27,95.66,96.09,97.08,96.77,97.56,97.56,97.92,96.83,95.4,93,91.51,91.83,92.99,94.26,95.63,94.74,95.85,96.75,96.56,96.75,97.85,98.68,99.88,100.8,101.75,102.91,103.4,104.55,105.25,106.29,106.85,108.02,108.43,107.61,104.66,104.49,102.35,103.07,101.54,101.6,101.32,102.19,103.29,103.63,104.29,104.32,105.99,108.96,109.93,110.96,113.45,114.45,115.4,117.13,119.35,122.02,120.37,119.32,121.79,126.56,128.94,127.62
KEP. BANGKA BELITUNG,99.62,104.01,105.02,105.91,104.22,102.33,99.61,100.81,102.49,101.56,99.98,102.68,105.92,105.79,103.05,100.23,96.92,96.11,98.94,102.53,105.46,108.08,110.84,113.46,116.21,117.28,121.89,124.5,123.8,121.25,123.67,128.22,128.65,131.51,134.91,135.93,134.76,136.68,139.35,137.37,123.62,120.94,111.22,120.22,119.03,120.12,124.16,125.55,124.1,121.31,123.43,121.1,114.8,111.42,113.91,115.43,118.04,118.2,118.23,120.06,121.09,124.5,128.81,130.45,128.59,134.5,136.98,137.48
KEP. RIAU,99.82,99.65,99.97,101.08,101.32,101.31,102.49,101.58,101.94,101.67,101.03,101.41,101.38,101.27,100.59,99.28,97.6,97.05,96.86,97.94,98.35,98.99,99.66,101.35,102.77,102.23,102.79,103.33,103.57,104.12,105.75,104.26,105.05,105.23,106.09,107.29,106.99,107.18,107.07,106.96,107.96,108.12,109.96,108.49,106.54,105.27,103.61,103.53,104.36,104.26,105.62,105.01,104.51,105.66,104.78,104.73,104.26,103.05,103.5,104.16,103.37,104.18,105.44,105.21,106.08,105.55,105.75,105.27
DKI JAKARTA,101.28,100.62,99.74,99.67,99.6,100.28,99.82,98.73,99.08,99.32,98.95,101.27,101.17,100.4,100.22,99.97,99.25,98.3,100.14,99.25,99.58,98.67,98.32,99.28,100,100.07,98.5,98.49,99.64,99.62,102.19,101.89,103.34,103.43,102.61,101.89,102.29,102.56,102.36,102.31,102.27,103.02,103.73,104.13,105.03,105.25,105.71,105.89,107.57,106.76,107.09,108.14,107.02,106.77,108.71,109.83,108.3,108.32,106.72,107.14,107.72,106.99,106.59,105.94,105.67,106.97,106.18,106.29
JAWA BARAT,102.01,102.12,100.69,100.29,99.2,98.89,99.25,100.93,102.11,102.88,103.76,103.8,104.47,104.48,104.13,102.04,100.44,100,100.08,99.52,99.98,100.94,100.73,100.19,100.06,99.85,99.08,97.35,96.98,96.53,96.45,96.46,96.77,97.93,97.8,98.8,99.5,99.52,99.15,97.17,96.9,99.07,99.97,100.22,100.46,100.83,101.01,103,104.96,106.7,105.17,104.26,104.43,104.99,104.94,106.38,109.43,111.74,112.51,113.86,113.97,117.43,116.45,110.4,108.76,109.97,110.92,111.99
JAWA TENGAH,102,100.52,99.71,99.57,100.18,100.66,102.05,102.69,102.93,103.99,103.68,104.11,104.03,103.29,102.12,100.51,101.11,101.1,100.77,100.99,101.82,102.08,102.19,101.49,100.98,100.37,99.3,98.71,99.28,99.47,99.13,100,100.95,101.67,101.34,103.18,103.18,102.83,102.62,100.93,101.96,103.3,104.31,105.38,105.97,105.66,105.26,107.27,108.72,109,107.52,107.71,108.84,109.57,108.93,110.71,113.33,115.64,116.29,117.11,118.2,121.94,116.02,110.97,110.79,113.02,113.45,113.8
