PROVINSI,Januari 2019,Februari 2019,Maret 2019,April 19,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 19,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 20,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 20,Oktober 2020,November 20,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 21,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 21,Oktober 2021,November 21,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 22,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 22,Oktober 2022,November 22,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 23,Mei 2023,Juni 2023,Juli 2023,Agustus 2023,September 23,Oktober 2023,November 23,Desember 2023,Januari 2024,Februari 2024,Maret 2024,April 24,Mei 2024,Juni 2024,Juli 2024,Agustus 2024
ACEH,93.91,91.59,94.85,96.71,98.38,98.71,100.94,101.38,100.14,99,96.24,94.58,97.8,98.62,96.24,94.81,92.36,92.77,93.96,95.57,93.28,94.86,93.54,95.52,97.56,97.49,96.37,98.18,95.34,93.27,95.51,92.74,92.73,94.29,94.83,95.56,93.56,95.89,100.06,96.68,94.44,105.45,109.49,105.57,102.51,97.87,94.47,98.99,101.68,99.36,96.48,92.96,89.44,93.6,97.57,100.35,102.91,100.05,109.06,106.09,97.68,104.06,108.29,102.38,101.54,103.2,97.89,100.79
SUMATERA UTARA,95.58,93.76,99.39,103,105.15,105.37,104.21,100.9,100.99,102.73,102.58,100.09,99.27,101.48,100.95,99.83,97.18,95.25,95.15,93.38,95.01,96.55,95.07,98.27,99.58,99.06,98.79,99.37,95.59,92.75,93.04,90.83,93.16,91.99,93.32,91.1,89.23,89.06,93.04,91.6,92.56,100.79,101.22,97.34,93.62,90.11,87.54,91.64,91.55,89.66,86.67,83.66,83.6,86.66,87.98,89.42,90.01,87.71,92.61,90.77,90.86,95.23,100.04,96.05,99.5,102.27,94.44,91.53
SUMATERA BARAT,92.48,87.4,87.4,92.27,92.59,94.2,94.5,96.52,94.14,95.57,99.61,97.15,101.69,101.05,98.34,96.33,98.63,95.97,94.58,91.68,92.73,94.29,97.22,99.09,100.24,100.28,103.94,101.9,98.52,95.25,98.3,101.99,100.45,100.25,97.02,98.88,99.55,104.07,106.6,104.53,110.64,131.31,131.36,114.07,117.02,110.93,103.92,106.72,111.76,110.76,104.56,96.76,92.19,102.47,109.45,106.81,100.89,95.47,109.93,121.73,115.7,121.34,129.27,126.53,133.9,140.29,121.47,110.08
RIAU,100.78,98.97,97.79,99.32,100.41,101.72,102.84,104.88,103.52,102.97,100.87,98.74,99.96,100.03,98.79,97.53,93.91,93.57,95.29,93.02,92.87,93.71,92.99,95.13,97.44,97.44,96.28,95.99,94.04,92.6,93.35,90.36,90.53,91.55,93.98,94.41,95.17,93.76,93.29,96.1,95.12,103.62,106.71,105.05,104.03,100.66,97.7,100.37,100.24,101.79,102.02,100.17,98.29,97.51,98.16,98.21,100.14,99.3,104.67,104.04,105.12,106.62,112.65,107.83,105.85,108.58,104.01,104.3
JAMBI,94.36,91.45,95.26,95.86,98.8,102.51,104.27,106.29,105.69,102.39,100.15,99.08,102.8,105.69,101.89,98.03,94.08,96.65,99.63,98.32,100.79,103.99,102.67,105.99,108.75,104.26,104.35,99.43,96.14,92.42,95.45,95.67,94.59,96.68,98.89,98.72,93.2,98.09,102.24,97.57,97.35,114.83,122.58,116.15,114.76,107.3,101.34,105.46,111.73,114.01,113.65,105.22,99.96,105.07,112.58,113.97,114.07,111.79,119.8,126.57,116.7,129.87,141.21,138.57,142.05,151.23,138,141.15
SUMATERA SELATAN,95.35,94.27,94.53,94.15,95.22,96.25,97.71,97.43,97.35,96.93,95.36,94.51,95.16,93.48,91.58,90.9,89.66,90.42,91.7,90.64,91.26,91.41,90.93,91.9,92.9,91.26,90.68,89.18,87.52,86.71,88.15,87.41,87.18,88.32,88.64,91.56,88.96,89.65,92.85,90.86,91.93,100.41,102.81,100.86,97.35,94.64,92.25,92.31,93.23,93.39,96.33,93.83,91.73,93.44,95.42,95.11,95.57,98.25,104.77,102.39,94.86,97.92,98.56,93.04,91.72,94.28,90.4,91.72
BENGKULU,91.98,86.98,89.47,93.85,95.92,100.07,105.17,107.63,106.56,106.98,106.76,101.98,108.06,109.02,105.45,100.9,100.05,103.93,101.28,97.7,97.01,99.95,101.5,105.92,110.12,105.14,101.27,99.64,95.06,100.13,104.18,98.88,101.36,97.93,100.78,92.4,85.87,89.87,85.1,81.05,89.75,120.87,127.55,115.71,108.72,97.51,95.27,103.85,102.94,99.04,93.61,89.12,92.18,107.73,114.15,114.3,111.26,107.13,118.09,135,118.72,130.14,127.47,118.59,125.46,135.8,118.59,109.1
LAMPUNG,96.98,93.76,92.99,93.34,94.26,95.56,96.88,98.24,95.89,96.34,96.02,94.56,98.99,97.2,96.55,94.91,94.14,96.26,96.18,94.19,94.82,96.3,96.99,99.6,100.95,99.77,99.03,97.12,94.79,94.45,96.67,94.7,93.05,94.36,95.57,100.17,95.89,98.66,99.33,98.82,101.93,116.25,125.75,116.06,115.17,108.72,104.06,108.7,107.68,105.38,103.99,102.93,104.23,110.44,110.5,112.66,114.79,117.19,128.65,134.62,128.49,134.36,128.62,123.03,125.99,133.97,124.97,117.45
KEP. BANGKA BELITUNG,102.55,103.83,101.74,101.93,104.48,104.38,104.14,103.92,108.12,106.45,103.91,106.18,102.82,101.75,99.35,97.23,99.47,101.26,103.67,101.43,103.16,106.13,103.67,104.69,108.72,106.08,102.94,103.87,101.94,105.66,106.86,105.19,104.7,105.11,108.1,125.81,113.86,107.47,110.88,111.14,112.52,127.54,126.32,119.95,118,117.76,111.74,107.79,108.79,104.92,101.64,101.39,104.02,106.32,104.58,105.73,106.03,111.29,116.24,122.26,113.27,115.18,117.96,111.67,113.49,108.38,107.63,108.28
KEP. RIAU,102.92,102.59,103.07,106.35,107.62,108.89,113.56,112.42,111.36,112.31,108.75,108.57,108.65,107.26,105.99,105.03,103.88,102.29,100.81,100.95,102.65,103.62,102.86,105.39,107.98,105.61,105.21,104.06,101.49,103.15,104.62,101.02,103.88,102.55,104.46,108.5,107.59,107.28,107.46,104.96,105.91,111.38,118.1,113.97,114.58,110.21,105.78,107.68,110.67,109.63,112.75,107.29,104.05,105.76,102.83,102.66,102.16,102.02,108.1,117.08,115.93,113,114.09,111.22,113.16,110.3,108.46,110.35
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
