PROVINSI,Januari 2019,Februari 2019,Maret 2019,Apr-19,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,Sep-19,Oktober 2019,Nov-19,Desember 2019,Januari 2020,Februari 2020,Maret 2020,Apr-20,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,Sep-20,Oktober 2020,Nov-20,Desember 2020,Januari 2021,Februari 2021,Maret 2021,Apr-21,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,Sep-21,Oktober 2021,Nov-21,Desember 2021,Januari 2022,Februari 2022,Maret 2022,Apr-22,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,Sep-22,Oktober 2022,Nov-22,Desember 2022,Januari 2023,Februari 2023,Maret 2023,Apr-23,Mei 2023,Juni 2023,Juli 2023,Agustus 2023,Sep-23,Oktober 2023,Nov-23,Desember 2023,Januari 2024,Februari 2024,Maret 2024,Apr-24,Mei 2024,Juni 2024,Juli 2024,Agustus 2024
ACEH,103.15,100.02,100.04,98.76,96.79,95.94,95.44,95.06,97.28,98.01,98.91,101.23,99.83,98.8,96.96,99.6,99.53,100.84,99.76,99.09,99.13,98.41,98.65,98.42,98.96,98.61,97.68,95.29,94.17,94.79,94.7,96.66,96.56,96.5,95.94,95.91,97.59,98.85,97.55,96.52,96.05,95.22,95.63,98.21,101.05,101.3,101.24,99.31,101.59,103.81,101.44,102.16,101.35,101.3,102.91,104.1,109.22,109.24,107.04,105.92,106.48,107.09,103.27,97.43,97.44,98.16,100.6,103.31
SUMATERA UTARA,102.46,101.74,100.38,99.44,99.82,98.12,97.43,98.58,99.14,98.5,99.31,99.42,98.23,98.1,96.95,96.44,96.92,97.56,96.95,96.9,96.87,96.61,96.38,94.98,94.28,94.85,94.67,95.6,96.41,96.72,96.05,96.66,96.94,97.56,97.68,97.88,97.79,97.18,96.16,95.68,95.73,94.35,93.44,95.14,95.32,95.43,95.05,94.02,95.28,97.13,97.85,98.16,98.44,97.75,97.89,98.38,101.15,101.51,100.35,101.32,101.76,102.55,101,99.48,98.69,99,99.62,100.84
SUMATERA BARAT,104.14,105.72,104.87,102.51,101.61,99.2,98.46,99.66,102.11,101.57,102.96,102.62,101.57,102.28,102.5,101.67,99.92,98.76,98.52,98.43,98.06,96.93,95.42,94.84,94.66,95.14,94.95,95.08,94.83,96.03,96.67,97.55,98.98,98.96,97.78,98.62,98.89,98.89,97.41,97.13,96.23,93.89,93.45,95.27,98.18,101.18,100.68,100.56,101.28,99.67,97.67,95.85,97.24,97.33,94.74,97.11,102.57,105.54,104.61,104.02,105.42,105.96,106.32,105.1,103.96,101.24,101.16,105
RIAU,98.54,98.41,98.11,97.8,97.26,96.95,96.1,95.45,95.34,95.83,95.61,96.13,95.16,94.81,92.34,93.47,92.84,93.05,94.13,93.61,93.68,93.64,93.15,92.94,91.89,91.43,91.13,91.95,91.79,91.18,91.13,90.5,90.74,90.32,90.48,90.4,91.44,91.24,90.79,90.46,90.11,89.45,88.54,89.61,89.42,89.67,89.92,90.6,90.67,92.49,92.47,91.83,92.58,92.42,92.68,92.82,95.16,96.51,97.78,98.54,98.31,97.3,97.92,95.24,94.79,94.51,94.04,94.1
JAMBI,105.52,107.1,106.18,104.12,103.54,100.03,100.14,98.24,98.01,99.09,100.87,101.78,101.27,101.22,101.47,101.8,100.49,99.91,99.92,100.63,100.62,100.08,99.73,98.68,98.28,97.79,97.49,96.07,96.39,97.44,97.25,96.35,96.32,96.58,97.64,99.18,99.27,99.12,97.38,95.44,95.25,95.07,94.14,98.03,100.31,103.75,102.81,102.96,101.9,102.52,102.81,103.94,103.57,103.18,102.01,101.45,105.63,110.72,107.6,106.3,109.33,109.23,106.76,102.92,101.74,98.93,100.43,104.42
SUMATERA SELATAN,99.1,98.6,100.55,98.52,97.54,96.95,99.56,99.03,100,101.12,102.54,103.47,103.32,102.27,101.73,99.79,98.04,98.03,97.65,97.54,98.02,96.41,94.06,92.52,93.36,93.51,91.7,89.51,88.49,89.62,88.44,90.13,89.57,90.6,88.46,90.16,89.33,89.17,89.15,87.4,86.89,85.39,84.15,86.94,86.29,88.06,88.29,88.74,89.08,91.66,92.54,93.25,93.97,93.83,93.26,94.42,99.12,101.37,101.53,102.02,102.31,103.21,100.21,93.84,93.59,95.78,98.19,99.5
BENGKULU,103.43,104.04,104.03,102.01,100.07,101.67,102.98,102.31,103.65,105.32,105.7,104.26,102.92,104.04,104.23,102.47,101.24,102.39,103.88,106.25,104.5,103.7,100.81,99.92,100.31,98.49,98.98,97.49,95.25,95.8,97.37,97.61,98.66,98.22,99.55,99.85,101.45,101.19,102.09,100.42,99.36,98.18,97.55,98.01,97.52,98.97,98.07,98.42,100.29,99.41,100.56,101.17,103.57,103.19,101.22,102.99,107.73,111.07,111.14,113.5,114.73,115.52,117.68,115.9,113.2,111.06,110.06,110.09
LAMPUNG,100.49,100.96,100.57,99.69,96.53,94.51,94.98,97.18,98.54,98.98,100.17,98.81,98.9,97.82,95.93,94.48,93.37,93.06,93.28,94.12,94.3,91.64,91.69,92.55,91.62,91.47,89.61,88.71,90.83,92.08,93.09,93.55,93.65,94.19,94.89,94.23,95.67,97.31,97.4,95.97,94.2,92.75,92.33,93.19,93.79,94.31,94.19,94.92,97.33,98.12,97.98,96.7,98.47,99.81,100.07,102.78,107.42,109.08,108.86,109.6,113.08,115.82,109.13,100.82,100.54,102.38,103.42,107.55
KEP. BANGKA BELITUNG,101.2,102.11,102.51,102.69,101.9,100.28,99.8,101.09,102.06,100.47,101.41,100.74,99.85,99.49,101,101.43,101.02,100.16,100.26,101.61,100.23,99.74,99.51,98.16,98.81,98.78,99.17,96.9,97.94,100.02,100.59,102.69,99.77,99.61,97.06,95.23,96.18,97.22,97.45,96.69,94.58,93.42,93.86,95.02,93.27,91.71,91.74,91.12,89.93,90,92.45,94.59,92.76,92.15,93.03,93.91,98.01,99.07,98.39,100.28,99.39,101.52,103.09,100.46,101.15,101.3,102.78,101.78
KEP. RIAU,99.93,97.37,99.31,100.61,99.91,100.83,97.54,97.04,100,97.96,105.08,103.73,102.96,100.71,101.84,103.72,102.49,101.19,102.38,101.11,101.75,103.45,103.89,104.54,105.96,103.44,104.94,105.92,103.65,101.81,101.92,101.01,103.17,104.77,103.02,102.79,102.17,101.28,101.03,99.61,99.49,99.41,98,97.39,96.84,96.97,97.8,99.2,98.8,98.5,98.72,98.84,98.8,98.75,98.71,98.26,97.81,97.86,97.37,97.32,96.59,97.61,97.72,96.84,97.1,96.98,96.84,96.14
