PROVINSI,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023,Juli 2023,Agustus 2023,September 2023,Oktober 2023,November 2023,Desember 2023,Januari 2024,Februari 2024,Maret 2024,April 2024,Mei 2024,Juni 2024,Juli 2024,Agustus 2024
ACEH,95.54,99.46,102.49,101.09,95.66,93.3,93.9,94.81,98.02,101.72,103.47,105.42,104.69,100.71,102.32,97.91,94.72,97.93,95.8,98.68,99.59,99.37,100.69,97.62,99.42,99.16,102.8,105.04,106.94,109.97,110.56,112.22,114.86,113.88,117.14,118.04,120.85,122.34,123.95,123.61,120.99,120.69,116.97,120.51,123.7,126.93,130.38,129.56,129.07,129.3,134.49,135.53,133,131.57,133.5,136.48,136.71,135.37,135.67,136.06,137.46,138.31,140.46,144.53,148.85,155.03,156.9,157.07
SUMATERA UTARA,102.52,107.45,108.8,111.12,107.21,100.89,102.11,104.79,109.8,115.15,121.02,126.71,132.09,127.74,123.69,118.18,113.73,114.67,118.63,122.8,126.77,129.93,134.63,137.47,136.99,135.96,141.43,141.31,143.48,139.13,137.71,142.78,148.32,153.83,159.45,160.1,162.14,160.97,166.85,171.01,139.39,141.29,123.4,142.95,147.22,151.96,159.99,160.24,157.83,160.86,165.25,163.9,156.73,153.33,153.62,154.75,160.07,161.72,164.12,166.53,166.37,168.2,172.85,175.81,173.1,174.94,178.75,184
SUMATERA BARAT,99.14,100.96,100.48,101.93,101.33,98.26,98.16,96.53,99.63,99.19,101.96,104.31,107.4,104.59,102.64,98.25,94.45,97.1,98.63,102.84,106.41,108.24,111.82,113.73,114.53,116.52,121.39,121.47,123.42,125.83,125.6,130.41,132.29,133.79,135.49,134.71,137.56,137.77,139.54,140.52,126.42,121.06,112.77,120.3,121.29,123.99,128.26,124.83,126.17,128.09,127.94,125.84,124.28,121.51,123.22,124.35,125.36,126.49,127.96,130.3,134.02,134.89,136.5,144.25,149.34,155.45,157.67,158.26
RIAU,101.72,108.81,111.64,109.93,105.24,99.48,99.07,103.02,110.17,110.76,116.04,121.57,129.63,122.44,117.66,119.99,115.34,112.68,117.24,121.54,126.38,129.64,134.19,137.84,140.89,141,146.68,142.75,143.55,143.74,139.92,145.79,151.23,155.63,159.62,164.16,161.2,165.91,172.61,172.62,144.39,141.26,122.68,140.85,148.27,153.99,164,164.96,163.76,166.82,174.92,170.27,163.36,155.53,159.24,161.96,162.76,164.17,166.13,168.55,168.85,170.32,177.57,183.46,182.25,183.32,189.07,192.36
JAMBI,99.26,102.77,105.31,105.11,104.87,100.37,99.2,96.6,100.21,98.41,102.54,108.61,113.03,108.5,105.86,102.71,98.52,101.73,104.54,108.83,113.03,115.98,120.06,122.65,124.24,123.6,128.48,129.07,131.47,131.57,130.27,136.13,140.47,144.39,148.75,149.9,150.65,151.71,154.61,157.04,141.06,134.54,124.4,136.93,141.5,145.51,148.19,151.31,151.36,149.74,155.63,153.97,146.88,140.96,142.27,143.07,144.96,145.75,147.56,148.67,152.06,155.11,159.99,165.41,163.48,167.74,168.82,170.48
SUMATERA SELATAN,96.06,97.44,101.7,102.4,104.08,104.16,100.04,96.36,95.45,94.07,95.61,97.19,99.98,95.06,91.44,88.07,84.81,86.68,89.1,92.76,95.89,99.23,102.8,105.23,102.35,105.23,110.06,111.27,111.77,113.42,115.16,119.36,120.93,120.43,121.72,122.09,124.24,124.8,125.69,126.56,118.96,119.14,112.85,112.21,103.12,105.63,103.49,104.14,103.49,106.13,107.46,109.45,106.21,106.9,109.92,107.65,108.63,110.84,112.84,112.65,112.62,115.82,121.43,125.26,127.78,133.18,135.14,134.01
BENGKULU,101.51,106.81,107.18,106.56,102.97,99.7,100.27,101.29,107.26,107.52,112.18,116.22,121.16,117.02,113.17,112.87,108.84,109.85,113.68,118.32,122.75,123.37,126.17,129.06,132.42,132.79,138.32,139.44,141.69,137.55,137.91,143.07,147.86,153.46,157.96,158.52,157.34,160.41,162.96,162.9,136.33,126.32,112.51,129.52,139.61,146.7,154.26,152.5,151.91,154.73,158.66,155.95,150.74,154.17,156.25,160.42,166.94,168.66,172.25,172.13,175.17,178.02,184.81,195.07,194.42,202.16,211.72,209.35
LAMPUNG,94.38,94.84,95.42,95.36,95.29,94.37,94.48,92.49,93.98,92.73,93.6,95.36,95.74,94.55,93.25,89.58,86.47,87.04,89.12,92.2,95.6,96.42,98.93,99.79,100.4,101.56,106.6,109.49,110.07,111.06,111.6,114.62,115.87,118.19,119.16,121.76,122.21,123.18,123.96,123.46,117.37,116.18,110.07,112.61,108.47,109.05,109.35,110.27,111,111.55,113.41,115.07,116.97,121.72,124.15,123.62,124.87,125.37,126.63,129.44,132.93,136.14,139.79,146.86,153.09,161.89,168.46,161.63
KEP. BANGKA BELITUNG,99.3,104.72,106.37,107.52,104.97,102.54,98.57,99.85,101.84,101.06,98.98,102.14,106.4,106.54,103.38,100.35,95.89,94.49,97.63,102.28,105.92,109.22,112.92,115.84,118.62,120.43,126.41,129.87,128.76,124.95,127.95,133.91,134.82,138.12,142.12,141.68,140.91,144.08,147.06,144.45,127.02,122.77,110.62,122.57,121.58,123.05,128.78,130.79,129.15,125.83,128.59,125.31,117.25,112.69,115.9,117.57,120.66,120.63,120.69,122.5,124.29,128.21,133.32,136.2,134.07,141.79,145.1,145.35
KEP. RIAU,96.02,95.78,96.19,96.81,96.46,95.06,96.18,94.8,95.62,94.81,95.18,94.94,93.53,96.01,93.43,92.25,88.5,86.48,84.37,86.6,85.22,86.4,87.52,89.57,90.19,93.14,95.99,98.66,101.34,101.91,103.83,102.78,103.48,105.14,105.21,104.02,103.97,106.63,107.92,108.87,110.08,106.83,107.33,106.04,99.86,98.36,96.54,93.9,93.6,94.83,95.64,99.38,100.96,102.84,103.6,103.83,102.98,100.18,98.71,97,94.59,98.79,100.97,102.84,105.1,106.36,108.05,104.42
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
